ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_Revenue,Response,Marital_Status_Binary,Kids,date,monto_gastado
5524,66,Graduation,Single,58138.0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,11,1,0,0,Sep,1617
2174,69,Graduation,Single,46344.0,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,11,0,0,2,March,27
4141,58,Graduation,Together,71613.0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,11,0,1,0,Aug,776
6182,39,Graduation,Together,26646.0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,11,0,1,1,Feb,53
5324,42,PhD,Married,58293.0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,11,0,1,1,Yan,422
7446,56,Master,Together,62513.0,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,11,0,1,1,Sep,716
965,52,Graduation,Divorced,55635.0,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,11,0,0,1,November,590
6177,38,PhD,Married,33454.0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,11,0,1,1,May,169
4855,49,PhD,Together,30351.0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,11,1,1,1,Jun,46
5899,73,PhD,Together,5648.0,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,11,0,1,2,March,49
1994,40,Graduation,Married,51381.5,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,11,0,1,1,November,19
387,47,Basic,Married,7500.0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,11,0,1,0,November,61
2125,64,Graduation,Divorced,63033.0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,11,0,0,0,November,1102
8180,71,Master,Divorced,59354.0,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,11,0,0,2,November,310
2569,36,Graduation,Married,17323.0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,11,0,1,0,Oct,46
2114,77,PhD,Single,82800.0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,11,1,0,0,November,1315
9736,43,Graduation,Married,41850.0,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,11,0,1,2,December,96
4939,77,Graduation,Together,37760.0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,11,0,1,0,Aug,317
6565,74,Master,Married,76995.0,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,11,0,1,1,March,1782
